test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
TCONS_00000019	XLOC_000009	uc010nyi.2	chr1:1227763-1260067	WT	KD	NOTEST	970.519	1520.18	0.647409	0	1	1	no
TCONS_00000020	XLOC_000009	uc009vjx.3	chr1:1227763-1260067	WT	KD	NOTEST	266.108	130.582	-1.02705	0	1	1	no
TCONS_00000021	XLOC_000010	uc001aeo.3	chr1:1260142-1264276	WT	KD	OK	3299.43	345.585	-3.25511	-1.94643	0.1375	0.348333	no
TCONS_00000022	XLOC_000010	uc001aeo.3	chr1:1260142-1264276	WT	KD	OK	4623.59	4335.45	-0.0928305	-0.276243	0.6974	0.771726	no
TCONS_00000023	XLOC_000011	uc010nyk.2	chr1:1266725-1269844	WT	KD	NOTEST	82.4487	0	-inf	0	1	1	no
TCONS_00000024	XLOC_000012	uc001afm.3	chr1:1334909-1342693	WT	KD	NOTEST	17.3716	1920.16	6.78835	0	1	1	no
TCONS_00000025	XLOC_000012	uc009vkd.3	chr1:1334909-1342693	WT	KD	NOTEST	1149.86	639.54	-0.846354	0	1	1	no
TCONS_00000026	XLOC_000012	uc001afm.3	chr1:1334909-1342693	WT	KD	OK	2551.88	1314.04	-0.957552	-0.67407	0.3195	0.578143	no
TCONS_00000027	XLOC_000013	uc010nyp.2	chr1:1361507-1363167	WT	KD	NOTEST	0	0	0	0	1	1	no
TCONS_00000028	XLOC_000014	uc001afr.3	chr1:1370902-1378262	WT	KD	NOTEST	9.83877	0.0116652	-9.72013	0	1	1	no
TCONS_00000029	XLOC_000014	uc001afs.3	chr1:1370902-1378262	WT	KD	NOTEST	926.921	767.337	-0.272586	0	1	1	no
TCONS_00000030	XLOC_000015	uc001aft.2	chr1:1385068-1405538	WT	KD	NOTEST	0	17.8787	inf	0	1	1	no
TCONS_00000031	XLOC_000016	uc001afv.3	chr1:1407163-1444689	WT	KD	OK	8081.12	3358.35	-1.2668	-3.42571	5e-05	0.000316667	yes
TCONS_00000032	XLOC_000016	uc001afw.2	chr1:1407163-1444689	WT	KD	NOTEST	157.912	204.054	0.369827	0	1	1	no
TCONS_00000033	XLOC_000016	uc001afx.3	chr1:1407163-1444689	WT	KD	NOTEST	889.216	1323.68	0.573953	0	1	1	no
TCONS_00000034	XLOC_000016	uc001afv.3	chr1:1407163-1444689	WT	KD	NOTEST	0	323.843	inf	0	1	1	no
TCONS_00000035	XLOC_000016	uc021oeq.1	chr1:1407163-1444689	WT	KD	NOTEST	464.263	0.103371	-12.1329	0	1	1	no
TCONS_00000036	XLOC_000017	uc001afz.2	chr1:1447522-1470067	WT	KD	NOTEST	0.0657363	0.0658748	0.00303698	0	1	1	no
TCONS_00000037	XLOC_000017	uc001aga.2	chr1:1447522-1470067	WT	KD	OK	9127.59	8488.54	-0.104718	-0.271257	0.6383	0.771726	no
TCONS_00000038	XLOC_000017	uc001agb.2	chr1:1447522-1470067	WT	KD	OK	5659.29	633.855	-3.1584	-2.46239	0.05585	0.176858	no
TCONS_00000039	XLOC_000017	uc001agc.1	chr1:1447522-1470067	WT	KD	NOTEST	44.6918	0	-inf	0	1	1	no
TCONS_00000040	XLOC_000018	uc021oen.1	chr1:1007125-1009687	WT	KD	NOTEST	0	0	0	0	1	1	no
TCONS_00000041	XLOC_000018	uc021oeo.1	chr1:1007125-1009687	WT	KD	NOTEST	0	0	0	0	1	1	no
TCONS_00000042	XLOC_000019	uc010nyd.1	chr1:1017197-1051736	WT	KD	NOTEST	117.973	492.288	2.06105	0	1	1	no
TCONS_00000043	XLOC_000019	uc001acn.2	chr1:1017197-1051736	WT	KD	NOTEST	0	0	0	0	1	1	no
TCONS_00000044	XLOC_000019	uc001act.2	chr1:1017197-1051736	WT	KD	NOTEST	304.908	522.449	0.776915	0	1	1	no
TCONS_00000045	XLOC_000019	uc001act.2	chr1:1017197-1051736	WT	KD	NOTEST	0	0	0	0	1	1	no
TCONS_00000046	XLOC_000019	uc001act.2	chr1:1017197-1051736	WT	KD	NOTEST	0	0	0	0	1	1	no
TCONS_00000047	XLOC_000019	uc001act.2	chr1:1017197-1051736	WT	KD	NOTEST	0	0	0	0	1	1	no
TCONS_00000048	XLOC_000019	uc001acr.2	chr1:1017197-1051736	WT	KD	NOTEST	0	0	0	0	1	1	no
TCONS_00000049	XLOC_000019	uc001acs.2	chr1:1017197-1051736	WT	KD	NOTEST	0.0388532	4.45207	6.8403	0	1	1	no
TCONS_00000050	XLOC_000019	uc001act.2	chr1:1017197-1051736	WT	KD	NOTEST	0	0	0	0	1	1	no
TCONS_00000051	XLOC_000019	uc001acu.2	chr1:1017197-1051736	WT	KD	OK	2551.41	1733.73	-0.557415	-0.91515	0.20015	0.422539	no
TCONS_00000052	XLOC_000020	uc031pkr.1	chr1:1103242-1103332	WT	KD	NOTEST	0	0	0	0	1	1	no
TCONS_00000053	XLOC_000021	uc031pks.1	chr1:1104384-1104467	WT	KD	NOTEST	0	0	0	0	1	1	no
TCONS_00000054	XLOC_000022	uc001acx.1	chr1:1108435-1133313	WT	KD	NOTEST	0	0	0	0	1	1	no
TCONS_00000055	XLOC_000023	uc001ada.3	chr1:1138887-1142089	WT	KD	NOTEST	0	0	0	0	1	1	no
TCONS_00000056	XLOC_000023	uc001adb.3	chr1:1138887-1142089	WT	KD	NOTEST	0	0	0	0	1	1	no
TCONS_00000057	XLOC_000023	uc001adc.3	chr1:1138887-1142089	WT	KD	NOTEST	0	0	0	0	1	1	no
TCONS_00000058	XLOC_000023	uc001add.3	chr1:1138887-1142089	WT	KD	NOTEST	0	0	0	0	1	1	no
TCONS_00000059	XLOC_000024	uc001ade.3	chr1:1146705-1149548	WT	KD	NOTEST	0	0.00213874	inf	0	1	1	no
TCONS_00000060	XLOC_000024	uc001ade.3	chr1:1146705-1149548	WT	KD	NOTEST	0	84.2358	inf	0	1	1	no
TCONS_00000061	XLOC_000024	uc001adf.3	chr1:1146705-1149548	WT	KD	NOTEST	0	0	0	0	1	1	no
TCONS_00000062	XLOC_000025	uc001adg.3	chr1:1152287-1167447	WT	KD	NOTEST	995.565	1271.85	0.353337	0	1	1	no
TCONS_00000063	XLOC_000025	uc001adh.4	chr1:1152287-1167447	WT	KD	OK	86621.7	107306	0.308929	4.51956	5e-05	0.000316667	yes
TCONS_00000064	XLOC_000025	uc001adi.4	chr1:1152287-1167447	WT	KD	OK	4325.56	7958.55	0.87962	2.17944	0.00145	0.00787143	yes
TCONS_00000065	XLOC_000025	uc009vjw.3	chr1:1152287-1167447	WT	KD	NOTEST	0	161.335	inf	0	1	1	no
TCONS_00000066	XLOC_000025	uc001adj.1	chr1:1152287-1167447	WT	KD	NOTEST	709.039	1153.49	0.702064	0	1	1	no
TCONS_00000067	XLOC_000025	uc001adi.4	chr1:1152287-1167447	WT	KD	NOTEST	683.011	2090.91	1.61415	0	1	1	no
TCONS_00000068	XLOC_000026	uc001adl.2	chr1:1177825-1182102	WT	KD	NOTEST	242.347	218.915	-0.146705	0	1	1	no
TCONS_00000069	XLOC_000027	uc001ado.3	chr1:1189291-1209234	WT	KD	OK	2069.1	0	-inf	-	0.1826	0.408165	no
TCONS_00000070	XLOC_000027	uc001adm.4	chr1:1189291-1209234	WT	KD	NOTEST	495.566	218.225	-1.18326	0	1	1	no
TCONS_00000071	XLOC_000027	uc001ado.3	chr1:1189291-1209234	WT	KD	NOTEST	45.3412	0.999689	-5.5032	0	1	1	no
TCONS_00000072	XLOC_000027	uc001ado.3	chr1:1189291-1209234	WT	KD	NOTEST	0	523.404	inf	0	1	1	no
TCONS_00000073	XLOC_000027	uc001adp.3	chr1:1189291-1209234	WT	KD	OK	17087.8	22618.5	0.404541	2.18474	0.00315	0.0133	yes
TCONS_00000074	XLOC_000027	uc001adq.3	chr1:1189291-1209234	WT	KD	NOTEST	1069.57	1714.72	0.680947	0	1	1	no
TCONS_00000075	XLOC_000027	uc001adr.3	chr1:1189291-1209234	WT	KD	NOTEST	1075.47	0	-inf	0	1	1	no
TCONS_00000076	XLOC_000028	uc001ady.2	chr1:1227763-1260067	WT	KD	NOTEST	349.131	0	-inf	0	1	1	no
TCONS_00000077	XLOC_000028	uc001aeb.2	chr1:1227763-1260067	WT	KD	NOTEST	171.182	10.0389	-4.09185	0	1	1	no
TCONS_00000078	XLOC_000028	uc001aea.2	chr1:1227763-1260067	WT	KD	NOTEST	343.175	252.042	-0.445283	0	1	1	no
TCONS_00000079	XLOC_000028	uc001aeb.2	chr1:1227763-1260067	WT	KD	NOTEST	1.15211	65.4456	5.82794	0	1	1	no
TCONS_00000080	XLOC_000028	uc001aeb.2	chr1:1227763-1260067	WT	KD	NOTEST	1690.36	1192.93	-0.502816	0	1	1	no
TCONS_00000081	XLOC_000028	uc001aeb.2	chr1:1227763-1260067	WT	KD	OK	6253.76	12678.8	1.01963	3.83664	5e-05	0.000316667	yes
TCONS_00000082	XLOC_000028	uc001aeb.2	chr1:1227763-1260067	WT	KD	NOTEST	0	0	0	0	1	1	no
TCONS_00000083	XLOC_000028	uc001aec.1	chr1:1227763-1260067	WT	KD	NOTEST	335.229	69.972	-2.2603	0	1	1	no
TCONS_00000084	XLOC_000029	uc009vjy.1	chr1:1227763-1260067	WT	KD	OK	1994.29	926.125	-1.1066	-1.11946	0.1576	0.3743	no
TCONS_00000085	XLOC_000029	uc001aee.2	chr1:1227763-1260067	WT	KD	OK	10563.3	9102.59	-0.214713	-0.795408	0.26145	0.5229	no
TCONS_00000086	XLOC_000029	uc001aef.2	chr1:1227763-1260067	WT	KD	NOTEST	0	136.703	inf	0	1	1	no
TCONS_00000087	XLOC_000029	uc001aeg.2	chr1:1227763-1260067	WT	KD	NOTEST	135.53	0	-inf	0	1	1	no
TCONS_00000088	XLOC_000029	uc001aeh.2	chr1:1227763-1260067	WT	KD	NOTEST	0	0	0	0	1	1	no
TCONS_00000089	XLOC_000029	uc001aei.2	chr1:1227763-1260067	WT	KD	NOTEST	0	4.73944	inf	0	1	1	no
TCONS_00000090	XLOC_000029	uc001aek.2	chr1:1227763-1260067	WT	KD	NOTEST	1447.9	933.472	-0.63328	0	1	1	no
TCONS_00000091	XLOC_000029	uc009vjz.2	chr1:1227763-1260067	WT	KD	NOTEST	906.786	0	-inf	0	1	1	no
TCONS_00000092	XLOC_000029	uc010nyj.2	chr1:1227763-1260067	WT	KD	NOTEST	0	490.275	inf	0	1	1	no
TCONS_00000093	XLOC_000029	uc001ael.3	chr1:1227763-1260067	WT	KD	OK	1790.76	1999.82	0.159294	0.162575	0.78385	0.807295	no
TCONS_00000094	XLOC_000029	uc001aen.2	chr1:1227763-1260067	WT	KD	NOTEST	216.877	922.98	2.08942	0	1	1	no
TCONS_00000095	XLOC_000030	uc002quu.3	chr1:1270657-1284506	WT	KD	OK	2957.5	2953.39	-0.0020078	-0.00129804	0.9812	0.9812	no
TCONS_00000096	XLOC_000030	uc009vka.3	chr1:1270657-1284506	WT	KD	NOTEST	0	0.145329	inf	0	1	1	no
TCONS_00000097	XLOC_000030	uc001aer.4	chr1:1270657-1284506	WT	KD	OK	12403.3	7738.24	-0.680648	-3.25922	5e-05	0.000316667	yes
TCONS_00000098	XLOC_000030	uc001aer.4	chr1:1270657-1284506	WT	KD	NOTEST	881.799	1318.96	0.580881	0	1	1	no
TCONS_00000099	XLOC_000030	uc001aer.4	chr1:1270657-1284506	WT	KD	OK	3320.34	4094.41	0.302325	0.320678	0.5673	0.71858	no
TCONS_00000100	XLOC_000031	uc001afa.3	chr1:1288070-1297157	WT	KD	NOTEST	202.195	42.5554	-2.24833	0	1	1	no
TCONS_00000101	XLOC_000031	uc001aew.3	chr1:1288070-1297157	WT	KD	OK	84895.3	111957	0.399187	4.87375	5e-05	0.000316667	yes
TCONS_00000102	XLOC_000031	uc001aex.4	chr1:1288070-1297157	WT	KD	NOTEST	0	563.891	inf	0	1	1	no
TCONS_00000103	XLOC_000031	uc001aey.4	chr1:1288070-1297157	WT	KD	OK	6521.63	8143.5	0.320417	0.649075	0.37925	0.596676	no
TCONS_00000104	XLOC_000031	uc001aez.3	chr1:1288070-1297157	WT	KD	OK	8280.59	3190.45	-1.37598	-1.31592	0.13325	0.348333	no
TCONS_00000105	XLOC_000031	uc001afa.3	chr1:1288070-1297157	WT	KD	NOTEST	0	0	0	0	1	1	no
TCONS_00000106	XLOC_000031	uc001afa.3	chr1:1288070-1297157	WT	KD	NOTEST	324.551	0	-inf	0	1	1	no
TCONS_00000107	XLOC_000032	uc001afb.1	chr1:1309109-1310818	WT	KD	OK	35702.5	29384.1	-0.28099	-0.473246	0.49375	0.694907	no
TCONS_00000108	XLOC_000032	uc009vkb.1	chr1:1309109-1310818	WT	KD	OK	1899.88	0.961208	-10.9488	-0.0236881	0.35385	0.596676	no
TCONS_00000109	XLOC_000032	uc001afd.2	chr1:1309109-1310818	WT	KD	OK	23977.6	26406.2	0.139189	0.278349	0.68045	0.771726	no
TCONS_00000110	XLOC_000032	uc001afc.2	chr1:1309109-1310818	WT	KD	OK	11158.1	14461.6	0.374135	0.501086	0.4085	0.597038	no
TCONS_00000111	XLOC_000033	uc010nym.1	chr1:1321090-1334718	WT	KD	NOTEST	261.532	482.186	0.8826	0	1	1	no
TCONS_00000112	XLOC_000033	uc001aff.1	chr1:1321090-1334718	WT	KD	NOTEST	114.264	372.351	1.7043	0	1	1	no
TCONS_00000113	XLOC_000033	uc001afg.1	chr1:1321090-1334718	WT	KD	NOTEST	0	0	0	0	1	1	no
TCONS_00000114	XLOC_000033	uc001afj.2	chr1:1321090-1334718	WT	KD	NOTEST	0	0	0	0	1	1	no
TCONS_00000115	XLOC_000033	uc001afj.2	chr1:1321090-1334718	WT	KD	NOTEST	0.910963	404.73	8.79535	0	1	1	no
TCONS_00000116	XLOC_000033	uc001afj.2	chr1:1321090-1334718	WT	KD	OK	2001.18	1274.89	-0.650482	-0.657118	0.27875	0.529625	no
TCONS_00000117	XLOC_000033	uc001afj.2	chr1:1321090-1334718	WT	KD	NOTEST	2.50405	0	-inf	0	1	1	no
TCONS_00000118	XLOC_000033	uc001afj.2	chr1:1321090-1334718	WT	KD	OK	1017.3	1959.57	0.945787	0.536599	0.52405	0.700969	no
TCONS_00000119	XLOC_000033	uc001afi.2	chr1:1321090-1334718	WT	KD	OK	3148.88	3383.18	0.10354	0.137536	0.78605	0.807295	no
TCONS_00000120	XLOC_000033	uc001afj.2	chr1:1321090-1334718	WT	KD	OK	568.511	2095.18	1.88181	0.928406	0.39255	0.596676	no
TCONS_00000121	XLOC_000033	uc021oep.1	chr1:1321090-1334718	WT	KD	OK	6375.77	8555.38	0.424232	1.79859	0.01325	0.0457727	yes
TCONS_00000122	XLOC_000034	uc001afo.4	chr1:1334909-1342693	WT	KD	OK	39986.6	38187.7	-0.0664078	-0.29989	0.6666	0.771726	no
TCONS_00000123	XLOC_000034	uc001afo.4	chr1:1334909-1342693	WT	KD	OK	29919.7	22522.9	-0.409708	-0.330476	0.53495	0.700969	no
TCONS_00000124	XLOC_000034	uc010nyn.1	chr1:1334909-1342693	WT	KD	NOTEST	160.07	423.028	1.40205	0	1	1	no
TCONS_00000125	XLOC_000035	uc001afp.3	chr1:1353799-1356824	WT	KD	NOTEST	37.6327	0	-inf	0	1	1	no
TCONS_00000126	XLOC_000035	uc001afq.3	chr1:1353799-1356824	WT	KD	NOTEST	2.42912	0	-inf	0	1	1	no
TCONS_00000127	XLOC_000035	uc010nyo.2	chr1:1353799-1356824	WT	KD	NOTEST	0	0	0	0	1	1	no
TCONS_00000128	XLOC_000036	uc009vkf.3	chr1:1470157-1475740	WT	KD	OK	1453.14	2049.79	0.496299	0.62607	0.3829	0.596676	no
TCONS_00000129	XLOC_000037	uc001agd.3	chr1:1477052-1510262	WT	KD	OK	45519.2	53758.4	0.240016	2.13289	0.0021	0.009975	yes
TCONS_00000130	XLOC_000037	uc009vkg.1	chr1:1477052-1510262	WT	KD	NOTEST	0	119.992	inf	0	1	1	no
TCONS_00000131	XLOC_000037	uc001age.1	chr1:1477052-1510262	WT	KD	OK	2593.4	1960.98	-0.403265	-1.11636	0.1081	0.315985	no
